,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LON,GEO_LAT
281,Tuesday,cbd,12:00:00,-104.9937844,39.7475429
282,Tuesday,cole,04:00:00,-104.9643894,39.7691854
283,Saturday,gateway-green-valley-ranch,16:00:00,-104.7976935,39.78942
284,Sunday,valverde,04:00:00,-105.0155668,39.7115233
285,Saturday,barnum-west,12:00:00,-105.0527578,39.7243318
286,Tuesday,five-points,12:00:00,-104.98877399999999,39.7518615
287,Tuesday,montbello,12:00:00,-104.84654300000001,39.7815973
288,Thursday,platt-park,08:00:00,-104.9807471,39.6932255
289,Sunday,civic-center,16:00:00,-104.9873914,39.7400591
290,Wednesday,cbd,04:00:00,-104.9891763,39.7420435
291,Thursday,lincoln-park,12:00:00,-104.9967862,39.7291625
292,Monday,lincoln-park,04:00:00,-104.9962563,39.7356199
293,Monday,northeast-park-hill,12:00:00,-104.9335012,39.7642064
294,Tuesday,east-colfax,12:00:00,-104.8920629,39.7404508
295,Tuesday,cbd,12:00:00,-104.9939434,39.7437414
296,Friday,north-capitol-hill,04:00:00,-104.9808218,39.7402911
297,Friday,hampden,12:00:00,-104.8732345,39.67313
298,Saturday,stapleton,04:00:00,-104.8864553,39.7477378
299,Tuesday,barnum,04:00:00,-105.03223899999999,39.7208945
300,Sunday,cole,12:00:00,-104.9705137,39.767522
301,Sunday,sunnyside,04:00:00,-105.0099837,39.7765271
302,Tuesday,west-colfax,12:00:00,-105.0287152,39.7368964
303,Monday,westwood,04:00:00,-105.0250838,39.7039466
304,Saturday,northeast-park-hill,12:00:00,-104.9097878,39.7710903
305,Wednesday,union-station,04:00:00,-104.9961834,39.7527061
306,Wednesday,montbello,16:00:00,-104.8237076,39.7929682
307,Wednesday,chaffee-park,12:00:00,-105.0058599,39.7841388
308,Wednesday,five-points,12:00:00,-104.9735586,39.7647081
309,Saturday,cbd,04:00:00,-104.9977493,39.7476011
310,Saturday,harvey-park,16:00:00,-105.0259076,39.6751242
311,Monday,sloan-lake,12:00:00,-105.0272663,39.754548
312,Friday,cbd,04:00:00,-104.9944267,39.7457613
313,Monday,union-station,04:00:00,-104.9983198,39.7498766
314,Wednesday,goldsmith,12:00:00,-104.9130303,39.6757239
315,Monday,university-park,12:00:00,-104.9589932,39.6727818
316,Monday,five-points,04:00:00,-104.9811328,39.7506449
317,Friday,cheesman-park,08:00:00,-104.9728122,39.7386028
318,Sunday,cbd,04:00:00,-104.9979549,39.7457077
319,Saturday,regis,12:00:00,-105.0266605,39.7852867
320,Monday,barnum,04:00:00,-105.0348217,39.7168802
321,Saturday,sunnyside,04:00:00,-105.0061712,39.7707572
322,Saturday,whittier,08:00:00,-104.9730357,39.7599729
323,Sunday,valverde,04:00:00,-105.0154018,39.7153523
324,Sunday,athmar-park,16:00:00,-105.0235388,39.7106005
325,Wednesday,barnum-west,12:00:00,-105.0413182,39.725276
326,Monday,cbd,12:00:00,-104.9897577,39.7461941
327,Sunday,cole,12:00:00,-104.9657227,39.7646234
328,Sunday,barnum-west,08:00:00,-105.0498768,39.7184404
329,Saturday,capitol-hill,16:00:00,-104.9805078,39.7399548
330,Saturday,lowry-field,04:00:00,-104.8864581,39.7327815
331,Monday,baker,08:00:00,-104.989635,39.7181039
332,Monday,east-colfax,04:00:00,-104.8926997,39.7400038
333,Sunday,westwood,04:00:00,-105.0382196,39.699126
334,Saturday,platt-park,04:00:00,-104.9828372,39.6839885
335,Saturday,cbd,08:00:00,-104.9948028,39.7443985
336,Saturday,union-station,16:00:00,-104.9965548,39.7485294
337,Sunday,cbd,16:00:00,-104.9891763,39.7420435
338,Tuesday,sunnyside,12:00:00,-105.0075848,39.7695662
339,Saturday,cole,08:00:00,-104.9676234,39.7672811
340,Saturday,sun-valley,04:00:00,-105.0196729,39.7332498
341,Friday,capitol-hill,12:00:00,-104.98232800000001,39.7400232
342,Saturday,civic-center,04:00:00,-104.9874038,39.732043
343,Saturday,cory-merrill,08:00:00,-104.9406328,39.6929399
344,Saturday,goldsmith,12:00:00,-104.9138454,39.6734109
345,Saturday,north-capitol-hill,04:00:00,-104.9867285,39.7412312
346,Saturday,city-park-west,04:00:00,-104.968648,39.7400501
347,Sunday,montbello,04:00:00,-104.8422759,39.7805605
348,Sunday,north-capitol-hill,08:00:00,-104.9798977,39.7416706
349,Saturday,valverde,12:00:00,-105.0199952,39.7131611
350,Sunday,union-station,04:00:00,-104.9976339,39.7502992
351,Saturday,montbello,16:00:00,-104.8098498,39.7803447
352,Saturday,speer,04:00:00,-104.9734972,39.7255082
353,Saturday,baker,12:00:00,-104.9921462,39.7183893
354,Saturday,east-colfax,12:00:00,-104.8913783,39.7398378
355,Sunday,five-points,04:00:00,-104.9896298,39.7525268
356,Monday,union-station,12:00:00,-105.0065534,39.7543669
357,Wednesday,washington-virginia-vale,04:00:00,-104.9113983,39.6936785
358,Friday,gateway-green-valley-ranch,08:00:00,-104.7664008,39.782863
359,Saturday,baker,04:00:00,-104.9921565,39.7135219
360,Monday,chaffee-park,12:00:00,-105.0247901,39.7877279
361,Monday,athmar-park,04:00:00,-105.0200675,39.7109103
362,Monday,five-points,04:00:00,-104.9838029,39.7594524
363,Friday,bear-valley,04:00:00,-105.0540561,39.6599182
364,Tuesday,gateway-green-valley-ranch,16:00:00,-104.7727117,39.781966
365,Monday,north-capitol-hill,12:00:00,-104.9791767,39.7415467
366,Sunday,capitol-hill,04:00:00,-104.9860044,39.7337774
367,Sunday,civic-center,12:00:00,-104.9895462,39.7351846
368,Sunday,barnum,04:00:00,-105.0364433,39.7151625
369,Sunday,sloan-lake,08:00:00,-105.0334608,39.7526017
370,Friday,north-capitol-hill,04:00:00,-104.9771288,39.7400716
371,Monday,westwood,04:00:00,-105.0489864,39.6993463
372,Monday,barnum-west,16:00:00,-105.0406499,39.7122416
373,Tuesday,east-colfax,04:00:00,-104.8850263,39.7330623
374,Tuesday,city-park-west,04:00:00,-104.9616161,39.7481414
375,Sunday,villa-park,12:00:00,-105.0482269,39.7339668
